"source","title_zh","count","indexes"
"dialogue","A:今天天氣如何?","2","3;21"
"dialogue","A:大家好","2","6;15"
"dialogue","M:你今天有空嘛?","2","36;60"
"essay","今天傍晚，弟弟就要回家了。","2","35;36"
"essay","今天老師帶我們去動物園。","2","26;34"
"essay","你為甚麼堅持要改名?","2","65;66"
"essay","我們很久沒有見面了，我很_____他。","2","23;31"
"essay","我和哥哥回到部落訪問老人家。","2","32;33"
"essay","我早上上學遲到了。","2","49;52"
"essay","我的名字是Ljumeg。","3","4;6;7"
"essay","我的好朋友叫 Pulja...","2","53;56"
"essay","排隊","2","24;25"
"essay","走路","2","16;17"
"essay","這辣椒很辣，你吃少一點。","3","68;69;70"
